id,code,loc_ru,loc_en,name_ru,name_en
6194,61940000,"Лин",Line,"труднопроез. участ. грунт. дорог ⚔",
6195,61950000,"Век",Vect,"овринги",
6196,61960000,"Век",Vect,"перевалы",
6197,61970000,"Плщ, Век","Poly, Vect","транспорт. развязки на автодор.",
6198,61980000,"Век",Vect,"съезды с автомобильных дорог",
6211,62110000,"Лин, Плщ, Век","Line, Poly, Vect",депо,
6212,62120000,"Лин, Плщ, Век","Line, Poly, Vect","вокзалы",
62131Poly,62131000,"Плщ",Poly,"станции всех классов",
62131Vect,62131000,"Век",Vect,"станции на узкоколейной ж/д",
62132,62132000,"Точ, Век","Point, Vect","станции метрополитена",
62133,62133000,"Век",Vect,"остановочн. и обгонные пункты",
62134,62134000,"Век",Vect,"платформы",
62135,62135000,"Плщ, Век","Poly, Vect","погрузочно-разгрузоч. площадки ⚔",
62136,62136000,"Век",Vect,"разъезды",
62141,62141000,"Век",Vect,"блокпосты",
62142,62142000,"Век",Vect,"путевые посты",
621422,62142200,"Век",Vect,"будки на ж/д",
621423,62142300,"Век",Vect,"казармы на ж/д",
62144,62144000,"Точ",Point,"поворотные круги",
621451,62145100,"Век",Vect,"посты",
6221,62210000,"Век",Vect,"легкие придорожные сооружения",
62221,62221000,"Век",Vect,"километровые знаки",
6223,62230000,"Лин, Плщ, Век","Line, Poly, Vect","стоянки транспорта на автодор.",
62311,62311000,"Плщ",Poly,"мосты на общем пролет. основан.",
62312,62312000,"Лин",Line,"мосты на разобщ. пролет. основ.",
62313,62313000,"Лин, Плщ","Line, Poly","мосты многоярусные",
62314,62314000,"Плщ",Poly,"мосты подъемные и разводные",
62315,62315000,"Плщ, Век","Poly, Vect","мосты прочие",
62317,62317000,"Лин, Век","Line, Vect","мосты пешеходные",
62318,62318000,"Век",Vect,"мосты через незн. препят. г/дор.",
62321,62321000,"Плщ",Poly,"путепроводы на общ. прол. основ.",
62322,62322000,"Лин",Line,"путепроводы на разоб. прол. осн.",
62323,62323000,"Лин",Line,"путепроводы многоярусные",
62324Line,62324000,"Лин",Line,"путепроводы, виадуки",
62324Vect,62324000,"Плщ, Век","Poly, Vect","путепроводы прочие",
62329,62329000,"Лин",Line,"сторона моста, путепровода, эст.",
62331Line,62331000,"Лин",Line,"туннели на автомагистрали",
62331Vect,62331000,"Век",Vect,"туннели на автодороге",
62332,62332000,"Лин",Line,"галереи на ж/д",
62343,62343000,"Лин, Плщ","Line, Poly","эстакады морские",
6234Line,62340000,"Лин",Line,"эстакады на автомобильной дор.",
6234Poly,62340000,"Плщ",Poly,"эстакады",
6234Vect,62340000,"Век",Vect,"эстакады на железной дороге",
6235,62350000,"Лин",Line,"насыпи на усовер. шоссе",
6236Line,62360000,"Лин",Line,"выемки на шоссе",
6236Poly,62360000,"Плщ",Poly,"выемки",
62371Line,62371000,"Лин",Line,"трубы водопропускные",
62371Vect,62371000,"Век",Vect,"трубы водопропуск. (вне дорог)",
62386,62386000,"Лин",Line,"бровка насыпи (выемки)",
62391,62391000,"Лин",Line,"подземные переходы",
62392,62392000,"Лин",Line,"переходные мостики",
62393,62393000,"Лин",Line,"лестницы для подъема",
631,63100000,"Век",Vect,"граница смены матер. покрытия ⚔",
633,63300000,"Век",Vect,"номер автомобильной дороги",
6331,63310000,"Век",Vect,"указатель злектровозной тяги ⚔",
711,71100000,"Плщ",Poly,"древесная растительность",
7111111,71111110,"Лин, Плщ","Line, Poly","леса густые высокие",
71111113,71111113,"Точ",Point,колки,
71111114,71111114,"Точ",Point,"рощи ориентиры (хвойные)",
71111115,71111115,"Точ",Point,"рощи ориентиры (лиственные)",
71111116,71111116,"Точ",Point,"рощи ориентиры (смешан. пород)",
71111117,71111117,"Точ, Плщ","Point, Poly","пальмовые рощи",
7111112,71111120,"Плщ",Poly,"леса густые низкорослые",
7111121,71111210,"Точ, Плщ","Point, Poly","леса редкие высокие",
7111122,71111220,"Точ, Плщ","Point, Poly","леса редкие низкорослые",
711121,71112100,"Точ, Плщ","Point, Poly","буреломы",
711122,71112200,"Точ, Плщ","Point, Poly","леса горелые и сухостойные",
711123,71112300,"Точ, Плщ","Point, Poly","леса вырубленные",
71113,71113000,"Лин, Плщ","Line, Poly","поросль леса",
71114Point,71114000,"Точ",Point,"стланик",
71114Poly,71114000,"Плщ",Poly,"стланик (отдельные группы)",
71121,71121000,"Плщ",Poly,"лес. питомники и молод. посадки",
